"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"","W01000251: Aston 1 ",1220,859,1221,1327,1122,935,505,1185,1024
"","W01000252: Aston 2 ",1513,1601,1221,1375,1038,632,1427,1011,1722
"","W01000253: Bagillt East ",832,852,861,626,732,818,886,1467,353
"","W01000254: Bagillt West ",449,470,456,692,403,815,739,125,411
"","W01000255: Broughton North East ",1421,1379,1447,1556,1350,706,1532,98,1263
"","W01000256: Broughton South 1 ",1100,1025,1327,916,1167,521,944,677,589
"","W01000257: Broughton South 2 ",1677,1737,1673,1444,1445,678,1632,470,1274
"","W01000258: Brynford ",1461,1470,1447,1343,1230,311,1212,1498,1223
"","W01000259: Buckley Bistre East 1 ",772,694,782,614,1106,683,938,283,1001
"","W01000260: Buckley Bistre East 2 ",1555,1603,1447,1273,1325,779,1401,532,1064
"","W01000261: Buckley Bistre West 1 ",1418,1468,1447,474,1457,733,1450,1444,1533
"","W01000262: Buckley Bistre West 2 ",638,776,861,330,483,1561,866,792,85
"","W01000263: Buckley Bistre West 3 ",415,338,456,572,432,883,734,953,72
"","W01000264: Buckley Mountain 1 ",1540,1251,1447,1172,1284,1332,975,690,1567
"","W01000265: Buckley Mountain 2 ",1536,1492,1447,1103,1648,513,1648,679,1496
"","W01000266: Buckley Pentrobin 1 ",1460,1305,1221,1400,1213,1597,486,534,1202
"","W01000267: Buckley Pentrobin 2 ",1431,1383,1327,1572,1231,491,1716,457,1144
"","W01000268: Buckley Pentrobin 3 ",1819,1861,1845,1771,1768,684,1845,368,1765
"","W01000269: Caergwrle ",1045,877,941,1034,873,1283,919,885,627
"","W01000270: Caerwys 1 ",1608,1711,1673,1546,1612,174,1653,1202,1611
"","W01000271: Caerwys 2 ",1298,1453,1327,871,1216,298,1647,1216,1018
"","W01000272: Cilcain ",1568,1745,1560,1707,1757,137,1880,926,1288
"","W01000273: Connah's Quay Central 1 ",591,622,655,722,453,1243,292,177,791
"","W01000274: Connah's Quay Central 2 ",260,228,295,339,411,1313,493,39,543
"","W01000275: Connah's Quay Golftyn 1 ",1171,1388,1327,751,1205,1046,828,103,734
"","W01000276: Connah's Quay Golftyn 2 ",1288,1177,1447,1868,1148,792,960,172,376
"","W01000277: Connah's Quay Golftyn 3 ",1331,1063,1447,1653,1172,638,815,382,1234
"","W01000278: Connah's Quay Golftyn 4 ",153,112,295,95,314,1203,162,90,796
"","W01000279: Connah's Quay South 1 ",1470,1408,1447,1207,1078,627,1120,943,1438
"","W01000280: Connah's Quay South 2 ",1360,1132,1221,1387,1209,502,984,1823,1400
"","W01000281: Connah's Quay South 3 ",1325,1412,1221,1490,826,748,871,493,1304
"","W01000282: Connah's Quay South 4 ",1824,1845,1873,1859,1670,383,1672,1234,1882
"","W01000283: Connah's Quay Wepre ",1157,1184,1221,1157,737,1537,462,186,1090
"","W01000284: Ewloe 1 ",1739,1808,1761,1790,1813,398,1659,435,1666
"","W01000285: Ewloe 2 ",1823,1877,1761,1765,1827,588,1092,939,1818
"","W01000286: Ewloe 3 ",1730,1721,1761,1748,1736,455,1459,480,1761
"","W01000287: Ffynnongroyw ",580,842,861,576,517,315,617,136,457
"","W01000288: Flint Castle ",209,189,223,428,158,1798,423,114,281
"","W01000289: Flint Coleshill 1 ",1583,1518,1447,1579,1217,524,1346,1172,1300
"","W01000290: Flint Coleshill 2 ",421,370,400,923,286,1815,138,108,872
"","W01000291: Flint Coleshill 3 ",1101,1006,1022,1538,813,452,1000,1288,948
"","W01000292: Flint Oakenholt 1 ",351,367,522,239,230,1295,371,1082,136
"","W01000293: Flint Oakenholt 2 ",697,817,708,767,548,639,790,461,704
"","W01000294: Flint Trelawny 1 ",1371,1668,1560,551,1301,336,1207,1876,1504
"","W01000295: Flint Trelawny 2 ",1209,1021,1022,949,941,1329,965,1208,951
"","W01000296: Greenfield 1 ",214,285,347,197,149,949,496,248,116
"","W01000297: Greenfield 2 ",1290,993,1221,1362,985,766,948,1528,968
"","W01000298: Gronant ",636,637,655,851,631,287,906,938,710
"","W01000299: Gwernaffield ",1672,1645,1673,1760,1700,260,1636,1009,1651
"","W01000300: Gwernymynydd ",1689,1664,1673,1674,1533,308,1747,1277,1549
"","W01000301: Halkyn ",1502,1498,1560,1283,1635,269,1463,1163,910
"","W01000302: Hawarden ",1853,1753,1560,1711,1800,942,1316,1509,1849
"","W01000303: Higher Kinnerton ",1880,1834,1845,1845,1807,688,1620,1565,1706
"","W01000304: Holywell Central ",155,129,97,226,250,1832,137,1867,360
"","W01000305: Holywell East ",1207,1019,1022,1186,967,1015,1110,1384,602
"","W01000306: Holywell West ",658,682,708,565,621,813,345,1881,284
"","W01000307: Hope 1 ",1682,1833,1761,631,1762,650,1397,1690,1670
"","W01000308: Hope 2 ",1310,1153,1221,1118,1383,1250,1291,671,244
"","W01000309: Leeswood ",1035,1064,1111,712,1140,367,1126,1089,946
"","W01000310: Llanfynydd ",1474,1522,1560,1218,1503,322,1310,600,1357
"","W01000311: Mancot 1 ",1138,1018,1111,1264,1161,728,792,424,787
"","W01000312: Mancot 2 ",633,668,782,1083,526,742,802,62,433
"","W01000313: Mold Broncoed 1 ",1125,996,941,1622,1011,1457,1339,107,670
"","W01000314: Mold Broncoed 2 ",1046,892,941,1410,1136,1839,875,42,893
"","W01000315: Mold East ",1158,1190,941,1128,1234,1245,1007,117,987
"","W01000316: Mold South 1 ",1708,1693,1761,1366,1675,817,1749,276,1396
"","W01000317: Mold South 2 ",1874,1894,1845,1872,1890,729,1884,603,1874
"","W01000318: Mold West 1 ",184,181,253,266,170,1715,503,25,250
"","W01000319: Mold West 2 ",806,935,655,945,760,1260,835,77,1125
